country_year,gdp_for_year,country,year,sex,SuiCount,population,SuiRate
Albania1987,2156624900,Albania,1987,male,48,1392700,3.4465
Albania1988,2126000000,Albania,1988,male,41,1420700,2.8859
Albania1989,2335124988,Albania,1989,male,53,1439800,3.6811
Albania1992,709452584,Albania,1992,male,33,1399300,2.3583
Albania1993,1228071038,Albania,1993,male,46,1379900,3.3336
Albania1994,1985673798,Albania,1994,male,35,1404200,2.4925
Albania1995,2424499009,Albania,1995,male,54,1429600,3.7773
Albania1996,3314898292,Albania,1996,male,50,1444200,3.4621
Albania1997,2359903108,Albania,1997,male,118,1448400,8.1469
Albania1998,2707123772,Albania,1998,male,96,1475400,6.5067
Albania1999,3414760915,Albania,1999,male,91,1486400,6.1222
Albania2000,3632043908,Albania,2000,male,38,1423900,2.6687
Albania2001,4060758804,Albania,2001,male,84,1390619,6.0405
Albania2002,4435078648,Albania,2002,male,91,1400102,6.4995
Albania2003,5746945913,Albania,2003,male,73,1412255,5.169
Albania2004,7314865176,Albania,2004,male,89,1427382,6.2352
Albania2005,8158548717,Albania,2005,male,0,1383392,0
Albania2006,8992642349,Albania,2006,male,0,1382667,0
Albania2007,10701011897,Albania,2007,male,77,1378492,5.5858
Albania2008,12881352688,Albania,2008,male,99,1372386,7.2137
Albania2009,12044212904,Albania,2009,male,0,1367676,0
Albania2010,11926953259,Albania,2010,male,61,1364397,4.4708
Antigua and Barbuda1985,240923926,Antigua and Barbuda,1985,male,0,30282,0
Antigua and Barbuda1986,290440148,Antigua and Barbuda,1986,male,0,29607,0
Antigua and Barbuda1987,337174852,Antigua and Barbuda,1987,male,0,29076,0
Antigua and Barbuda1988,398637741,Antigua and Barbuda,1988,male,0,28713,0
Antigua and Barbuda1989,438794778,Antigua and Barbuda,1989,male,0,28546,0
Antigua and Barbuda1990,459469074,Antigua and Barbuda,1990,male,1,28605,3.4959
Antigua and Barbuda1991,481706333,Antigua and Barbuda,1991,male,0,29158,0
Antigua and Barbuda1992,499281148,Antigua and Barbuda,1992,male,0,29890,0
Antigua and Barbuda1993,535172778,Antigua and Barbuda,1993,male,1,30725,3.2547
Antigua and Barbuda1994,589429593,Antigua and Barbuda,1994,male,0,31579,0
Antigua and Barbuda1995,577280741,Antigua and Barbuda,1995,male,0,32382,0
Antigua and Barbuda1998,727860593,Antigua and Barbuda,1998,male,0,34169,0
Antigua and Barbuda1999,766198926,Antigua and Barbuda,1999,male,0,34673,0
Antigua and Barbuda2000,830158778,Antigua and Barbuda,2000,male,2,35237,5.6759
Antigua and Barbuda2001,800740259,Antigua and Barbuda,2001,male,2,35816,5.5841
Antigua and Barbuda2002,814615333,Antigua and Barbuda,2002,male,0,36472,0
Antigua and Barbuda2003,855643111,Antigua and Barbuda,2003,male,1,37184,2.6893
Antigua and Barbuda2004,919577148,Antigua and Barbuda,2004,male,2,37885,5.2791
Antigua and Barbuda2005,1022191296,Antigua and Barbuda,2005,male,0,38551,0
Antigua and Barbuda2006,1157005444,Antigua and Barbuda,2006,male,0,39199,0
Antigua and Barbuda2007,1311401333,Antigua and Barbuda,2007,male,1,39773,2.5143
Antigua and Barbuda2008,1368431037,Antigua and Barbuda,2008,male,0,40286,0
Antigua and Barbuda2009,1224253000,Antigua and Barbuda,2009,male,0,40782,0
Antigua and Barbuda2012,1211411704,Antigua and Barbuda,2012,male,0,42322,0
Antigua and Barbuda2013,1192925407,Antigua and Barbuda,2013,male,0,42860,0
Antigua and Barbuda2014,1280133333,Antigua and Barbuda,2014,male,0,43382,0
Antigua and Barbuda2015,1364863037,Antigua and Barbuda,2015,male,0,43899,0
Argentina1985,88416668900,Argentina,1985,male,1450,13399900,10.821
Argentina1986,1.11E+11,Argentina,1986,male,1643,13475700,12.1923
Argentina1987,1.11E+11,Argentina,1987,male,1600,13651500,11.7203
Argentina1988,1.26E+11,Argentina,1988,male,1689,13984000,12.0781
Argentina1989,76636898036,Argentina,1989,male,1641,14173000,11.5784
Argentina1990,1.41E+11,Argentina,1990,male,1545,14359100,10.7597
Argentina1991,1.90E+11,Argentina,1991,male,1452,14490000,10.0207
Argentina1992,2.29E+11,Argentina,1992,male,1680,14684100,11.4409
Argentina1993,2.37E+11,Argentina,1993,male,1737,14893500,11.6628
Argentina1994,2.57E+11,Argentina,1994,male,1731,15104400,11.4602
Argentina1995,2.58E+11,Argentina,1995,male,1700,15315900,11.0996
Argentina1996,2.72E+11,Argentina,1996,male,1697,15527900,10.9287
Argentina1997,2.93E+11,Argentina,1997,male,1645,15765046,10.4345
Argentina1998,2.99E+11,Argentina,1998,male,1821,15968063,11.404
Argentina1999,2.84E+11,Argentina,1999,male,1930,16168564,11.9367
Argentina2000,2.84E+11,Argentina,2000,male,2224,16366188,13.589
Argentina2001,2.69E+11,Argentina,2001,male,2456,16572648,14.8196
Argentina2002,97724004252,Argentina,2002,male,2459,16765006,14.6675
Argentina2003,1.28E+11,Argentina,2003,male,2605,16948518,15.3701
Argentina2004,1.65E+11,Argentina,2004,male,2467,17131546,14.4003
Argentina2005,1.99E+11,Argentina,2005,male,2394,17320018,13.8222
Argentina2006,2.33E+11,Argentina,2006,male,2496,17498236,14.2643
Argentina2007,2.88E+11,Argentina,2007,male,2346,17691237,13.2608
Argentina2008,3.62E+11,Argentina,2008,male,2448,17895488,13.6794
Argentina2009,3.33E+11,Argentina,2009,male,2300,18103296,12.7049
Argentina2010,4.24E+11,Argentina,2010,male,2377,18309220,12.9825
Argentina2011,5.30E+11,Argentina,2011,male,2329,18524167,12.5728
Argentina2012,5.46E+11,Argentina,2012,male,2620,18733710,13.9855
Argentina2013,5.52E+11,Argentina,2013,male,2398,18939085,12.6616
Argentina2014,5.26E+11,Argentina,2014,male,2544,19144749,13.2882
Argentina2015,5.95E+11,Argentina,2015,male,2469,19353495,12.7574
Armenia1990,2256838858,Armenia,1990,male,64,1456600,4.3938
Armenia1991,2068526522,Armenia,1991,male,54,1555700,3.4711
Armenia1992,1272577456,Armenia,1992,male,64,1591900,4.0204
Armenia1993,1201313201,Armenia,1993,male,71,1619400,4.3843
