Player,Pos,Height,Weight,Birthdate,Country,Experience,College,Salary,Age,Height_cm,College,Player_2
quincy acy,PF,7-Jun,240,33152,us,2,Baylor,915243,23,200.66,Baylor,"Acy, Quincy"
jordan adams,SG,5-Jun,209,34523,us,0,UCLA,1344120,20,195.58,UCLA,"Adams, Jordan"
steve adams,C,Jul-00,265,34170,nz,1,Pitt,2184960,21,213.36,Pitt,"Adams, Steven"
jeff adrien,PF,7-Jun,245,31453,us,4,UConn,981084,28,200.66,UConn,"Adrien, Jeff"
arron afflalo,SG,5-Jun,210,31335,us,7,UCLA,7750000,28,195.58,UCLA,"Afflalo, Arron"
alexis ajinca,C,2-Jul,248,32269,fr,4,,981084,26,218.44,,"Ajinca, Alexis"
furkan aldemir,PF,10-Jun,240,33459,tr,0,,3000000,23,208.28,,"Aldemir, Furkan"
cole aldrich,C,11-Jun,250,32447,us,4,Kansas,981084,25,210.82,Kansas,"Aldrich, Cole"
lamarcus aldridge,PF,11-Jun,260,31247,us,8,Texas,16006000,29,210.82,Texas,"Aldridge, LaMarcus"
lavoy allen,C,9-Jun,260,32543,us,3,Temple,948163,25,205.74,Temple,"Allen, Lavoy"
tony allen,SG,4-Jun,213,29962,us,10,"Butler County Community College, Oklahoma State",4831461,32,193.04,Butler County Community College,"Allen, Tony"
al farouq aminu,SF,9-Jun,220,33137,us,4,Wake Forest,981084,24,205.74,Wake Forest,"Aminu, Al-Farouq"
lou amundson,PF,9-Jun,220,30292,us,8,UNLV,409167,31,205.74,UNLV,"Amundson, Lou"
chris andersen,C,10-Jun,245,28678,us,12,Blinn College,5375000,36,208.28,Blinn College,"Andersen, Chris"
alan anderson,SG,6-Jun,220,30240,us,5,Michigan State,1276061,31,198.12,Michigan State,"Anderson, Alan"
kyle anderson,SF,9-Jun,230,34232,us,0,UCLA,1093680,21,205.74,UCLA,"Anderson, Kyle"
ryan anderson,PF,10-Jun,240,32269,us,6,Cal,8491500,26,208.28,Cal,"Anderson, Ryan"
giannis antetokounmpo,SG,11-Jun,242,34674,gr,1,,1873200,19,210.82,,"Antetokounmpo, Giannis"
carmelo anthony,SF,8-Jun,240,30831,us,11,Syracuse,22458000,30,203.2,Syracuse,"Anthony, Carmelo"
joel anthony,C,9-Jun,245,30172,ca,7,UNLV,3800000,32,205.74,UNLV,"Anthony, Joel"
pero antic,C,11-Jun,260,30161,mk,1,,1250000,32,210.82,,"Antic, Pero"
trevor ariza,SF,8-Jun,215,31228,us,10,UCLA,8579089,29,203.2,UCLA,"Ariza, Trevor"
darrell arthur,PF,9-Jun,235,32227,us,5,Kansas,3457149,26,205.74,Kansas,"Arthur, Darrell"
omer asik,C,Jul-00,255,31597,tr,4,,8374646,28,213.36,,"Asik, Omer"
dj augustin,PG,Jun-00,183,32091,us,6,Texas,3000000,26,182.88,Texas,"Augustin, D.J."
jeff ayres,PF,9-Jun,240,31896,us,4,Arizona State,1828750,27,205.74,Arizona State,"Ayres, Jeff"
luke babbitt,SF,9-Jun,225,32679,us,4,Nevada,981084,25,205.74,Nevada,"Babbitt, Luke"
cameron bairstow,PF,9-Jun,250,33214,au,0,New Mexico,507336,23,205.74,New Mexico,"Bairstow, Cameron"
leandro barbosa,SG,3-Jun,194,30283,br,11,,1448490,31,190.5,,"Barbosa, Leandro"
andrea bargnani,C,Jul-00,245,31346,it,8,,11500000,28,213.36,,"Bargnani, Andrea"
harrison barnes,SF,8-Jun,225,33754,us,2,UNC,3049920,22,203.2,UNC,"Barnes, Harrison"
matt barnes,SF,7-Jun,226,29289,us,11,UCLA,3396250,34,200.66,UCLA,"Barnes, Matt"
earl barron,C,Jul-00,250,29812,us,7,Memphis,107676,33,213.36,Memphis,"Barron, Earl"
will barton,SG,6-Jun,190,33244,us,2,Memphis,915243,23,198.12,Memphis,"Barton, Will"
brandon bass,PF,8-Jun,250,31167,us,9,LSU,6900000,29,203.2,LSU,"Bass, Brandon"
nicolas batum,SF,8-Jun,200,32491,fr,6,,11765500,25,203.2,,"Batum, Nicolas"
jerryd bayless,PG,3-Jun,200,32375,us,6,Arizona,3000000,26,190.5,Arizona,"Bayless, Jerryd"
aron baynes,C,10-Jun,260,31755,nz,2,Washington State,2077000,27,208.28,Washington State,"Baynes, Aron"
kent bazemore,SG,5-Jun,201,32690,us,2,Old Dominion,2000000,25,195.58,Old Dominion,"Bazemore, Kent"
bradley beal,SG,5-Jun,207,34148,us,2,Florida,4505280,21,195.58,Florida,"Beal, Bradley"
michael beasley,PF,9-Jun,235,32517,us,6,Kansas State,330226,25,205.74,Kansas State,"Beasley, Michael"
marco belinelli,SG,5-Jun,210,31496,it,7,,2873750,28,195.58,,"Belinelli, Marco"
jerrelle benimon,PF,8-Jun,245,33451,us,0,"Georgetown, Towson University",35000,23,203.2,Georgetown,"Benimon, Jerrelle"
anthony bennett,PF,8-Jun,245,34042,ca,1,UNLV,5563920,21,203.2,UNLV,"Bennett, Anthony"
patrick beverley,PG,1-Jun,185,32336,us,2,Arkansas,915243,26,185.42,Arkansas,"Beverley, Patrick"
sim bhullar,C,5-Jul,360,33940,ca,0,New Mexico State,29843,21,226.06,New Mexico State,"Bhullar, Sim"
bismack biyombo,C,9-Jun,255,33844,cd,3,,3873398,22,205.74,,"Biyombo, Bismack"
tarik black,C,9-Jun,250,33564,us,0,"Memphis, Kansas",507336,22,205.74,Memphis,"Black, Tarik"
dejuan blair,PF,7-Jun,270,32620,us,5,Pitt,2000000,25,200.66,Pitt,"Blair, DeJuan"
steve blake,PG,3-Jun,172,29277,us,11,Maryland,2077000,34,190.5,Maryland,"Blake, Steve"
eric bledsoe,PG,1-Jun,205,32851,us,4,Kentucky,12173913,24,185.42,Kentucky,"Bledsoe, Eric"
vander blue,SG,4-Jun,200,33802,us,1,Marquette,0,22,193.04,Marquette,"Blue, Vander"
bojan bogdanovic,SF,8-Jun,216,32616,ba,0,,3278000,25,203.2,,"Bogdanovic, Bojan"
andrew bogut,C,Jul-00,260,31014,au,9,Utah,12972973,29,213.36,Utah,"Bogut, Andrew"
matt bonner,PF,10-Jun,235,29316,us,10,Florida,1448490,34,208.28,Florida,"Bonner, Matt"
trevor booker,PF,8-Jun,228,32106,us,4,Clemson,5000000,26,203.2,Clemson,"Booker, Trevor"
carlos boozer,PF,9-Jun,258,29910,de,12,Duke,13550000,32,205.74,Duke,"Boozer, Carlos"
chris bosh,C,11-Jun,235,30765,us,11,Georgia Tech,20644400,30,210.82,Georgia Tech,"Bosh, Chris"
avery bradley,SG,2-Jun,180,33203,us,4,Texas,7191011,23,187.96,Texas,"Bradley, Avery"
elton brand,C,8-Jun,275,28925,us,15,Duke,2000000,35,203.2,Duke,"Brand, Elton"
corey brewer,SF,9-Jun,186,31476,us,7,Florida,4702500,28,205.74,Florida,"Brewer, Corey"
aaron brooks,PG,Jun-00,161,31061,us,6,Oregon,1145685,29,182.88,Oregon,"Brooks, Aaron"
jabari brown,SG,4-Jun,215,33956,us,0,"Oregon, Missouri",44765,21,193.04,Oregon,"Brown, Jabari"
lorenzo brown,PG,5-Jun,189,33111,us,1,NC State,283367,24,195.58,NC State,"Brown, Lorenzo"
markel brown,SG,3-Jun,190,33632,us,0,Oklahoma State,507336,22,190.5,Oklahoma State,"Brown, Markel"
shannon brown,SG,4-Jun,205,31380,us,8,Michigan State,0,28,193.04,Michigan State,"Brown, Shannon"
kobe bryant,SG,6-Jun,212,28725,us,18,,23500000,36,198.12,,"Bryant, Kobe"
chase budinger,SF,7-Jun,209,32285,us,5,Arizona,5000000,26,200.66,Arizona,"Budinger, Chase"
reggie bullock,SF,7-Jun,205,33313,us,1,UNC,1200720,23,200.66,UNC,"Bullock, Reggie"
trey burke,PG,1-Jun,175,33920,us,1,Michigan,2548560,21,185.42,Michigan,"Burke, Trey"
alec burks,SG,6-Jun,214,33439,us,3,Colorado,3034356,23,198.12,Colorado,"Burks, Alec"
caron butler,SF,7-Jun,228,29293,us,12,UConn,4500000,34,200.66,UConn,"Butler, Caron"
jimmy butler,SG,8-Jun,232,32765,us,3,Marquette,2008748,25,203.2,Marquette,"Butler, Jimmy"
rasual butler,SF,7-Jun,215,28998,us,11,La Salle,1448490,35,200.66,La Salle,"Butler, Rasual"
dwight buycks,PG,3-Jun,190,32573,us,1,Marquette,48028,25,190.5,Marquette,"Buycks, Dwight"
will bynum,SG,Jun-00,185,30320,us,7,"Arizona, Georgia Tech",2915908,31,182.88,Arizona,"Bynum, Will"
bruno caboclo,SF,9-Jun,218,34963,br,0,,1458360,19,205.74,,"Caboclo, Bruno"
nick calathes,SG,6-Jun,213,32546,us,1,Florida,816482,25,198.12,Florida,"Calathes, Nick"
jose calderon,PG,3-Jun,200,29857,es,9,,7097191,33,190.5,,"Calderon, Jose"
kentavious caldwell-pope,SG,5-Jun,205,34018,us,1,Georgia,2772480,21,195.58,Georgia,"Caldwell-Pope, Kentavious"
isaiah canaan,PG,Jun-00,201,33379,us,1,Murray State,816482,23,182.88,Murray State,"Canaan, Isaiah"
clint capela,C,10-Jun,240,34472,ch,0,,1189200,20,208.28,,"Capela, Clint"
demarre carroll,SF,8-Jun,215,31620,us,5,"Vanderbilt, Missouri",2442455,28,203.2,Vanderbilt,"Carroll, DeMarre"
vince carter,SG,6-Jun,220,28151,us,16,UNC,3911981,37,198.12,UNC,"Carter, Vince"
michael carter-williams,PG,6-Jun,190,33521,us,1,Syracuse,2300040,22,198.12,Syracuse,"Carter-Williams, Michael"
omri casspi,SF,9-Jun,225,32316,il,5,,1063384,26,205.74,,"Casspi, Omri"
mario chalmers,PG,2-Jun,190,31551,us,6,Kansas,4000000,28,187.96,Kansas,"Chalmers, Mario"
tyson chandler,C,1-Jul,240,30226,us,13,,14598888,31,215.9,,"Chandler, Tyson"
wilson chandler,SF,9-Jun,225,31907,us,7,DePaul,6757913,27,205.74,DePaul,"Chandler, Wilson"
will cherry,PG,Jun-00,185,33277,us,0,University of Montana,25000,23,182.88,University of Montana,"Cherry, Will"
patrick christopher,SG,5-Jun,209,32297,us,0,Cal,0,26,195.58,Cal,"Christopher, Patrick"
earl clark,PF,10-Jun,225,32159,us,5,Louisville,62552,26,208.28,Louisville,"Clark, Earl"
