"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Hump day happiness should flow like this <U+0001F42A><U+0001F42A><U+0001F42A><U+0001F924><U+0001F924><U+0001F924>
.
.
.
#Coffee #Coffeetime #Coffeeaddict #Coffeeshop @TopLikeTags… https://t.co/TKOed0wo64",FALSE,0,NA,2019-10-15 22:06:06,TRUE,NA,"1184228985775022082",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AlanChanCoffee",0,FALSE,FALSE,NA,NA
"Mickey Mouse Jack Skellington Mashup
#mickeymouse #jackskellington #disney #goth #coffee #starbucks #starbucks… https://t.co/PkPOB3nUOC",FALSE,0,NA,2019-10-15 22:02:00,TRUE,NA,"1184227951711154177",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","princessandmain",0,FALSE,FALSE,NA,NA
"Why so serious? Order the new secret Starbucks menu item! 

#q108clarksville #q108 #starbucks #secretmenuitem… https://t.co/YUVDD5Tnnr",FALSE,0,NA,2019-10-15 22:01:13,TRUE,NA,"1184227755073986560",NA,"<a href=""https://panel.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","Q108Clarksville",0,FALSE,FALSE,NA,NA
"Visiting my favourite barista daughter <U+0001F497>

#starbucks<U+2615><U+FE0F> #barista #hibiscustea #sheissosweet #proudmamma… https://t.co/RHdSCqXRU3",FALSE,0,NA,2019-10-15 22:00:56,TRUE,NA,"1184227685964361728",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CaptSamME",0,FALSE,FALSE,"-76.5545079","44.2575371"
"New cups for my collection #Starbucks #starbuck #halloween #starbuckscups https://t.co/eAK0nfYx2X",FALSE,0,NA,2019-10-15 21:58:07,FALSE,NA,"1184226974799159296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TribalWolfx",0,FALSE,FALSE,NA,NA
"My favorite drink #IcedMatcha #Starbucks <U+0001F60B><U+0001F49A> https://t.co/kU9fkXIWiA",FALSE,0,NA,2019-10-15 21:56:02,FALSE,NA,"1184226450330787841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neekarox24",0,FALSE,FALSE,NA,NA
"Find out what’s in Starbucks’ lower-sugar drinks—and if they are actually healthy. #Starbucks… https://t.co/6JSZEHFpxj",FALSE,0,NA,2019-10-15 21:53:01,TRUE,NA,"1184225691467952129",NA,"<a href=""http://www.edgetheory.com"" rel=""nofollow"">EdgeTheory</a>","The_Fitness_Guy",0,FALSE,FALSE,NA,NA
"RT @princessandmain: Cactus Starbucks cozy
#cactus #cacti #plantlady #summer #succulents https://t.co/CTLgPO7ICH #sharemyetsy
#etsymntt #et…",FALSE,0,NA,2019-10-15 21:50:02,FALSE,NA,"1184224939361964032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Veron2V",2,TRUE,FALSE,NA,NA
"I went to @starbucks this morning for my favorite #hotchocolate. I saw numerous people picking up their online &amp; in… https://t.co/PoCyhcHVou",FALSE,1,NA,2019-10-15 21:47:39,TRUE,NA,"1184224342558855168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cntrymusicfan",0,FALSE,FALSE,NA,NA
"RT @princessandmain: Mickey &amp; Minnie Mouse Besties
#mickeymouse #minniemouse #disneystyle #disney #starbucks https://t.co/igMNzVkcWb #etsys…",FALSE,0,NA,2019-10-15 21:45:29,FALSE,NA,"1184223796007526405",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arkayscreations",1,TRUE,FALSE,NA,NA
"RT @princessandmain: Cactus Starbucks cozy
#cactus #cacti #plantlady #summer #succulents https://t.co/CTLgPO7ICH #sharemyetsy
#etsymntt #et…",FALSE,0,NA,2019-10-15 21:45:26,FALSE,NA,"1184223782459891718",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arkayscreations",2,TRUE,FALSE,NA,NA
"RT @arlyn_janely: “This wait is too long, what’s taking so long” 
Us: We’re so sorry, we just have a lot of drinks <U+0001F92A> #Starbucks https://t.c…",FALSE,0,NA,2019-10-15 21:36:03,FALSE,NA,"1184221423398608896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flowerpieces",5,TRUE,FALSE,NA,NA
"I’m allowed to drink just a coffee per day. So, I’ve been waiting all day long for my cold brew black and, it’s so… https://t.co/98StvsxE8n",FALSE,0,NA,2019-10-15 21:34:58,TRUE,NA,"1184221150513004544",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Vignia",0,FALSE,FALSE,"-70.632801","-33.43721382"
"So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/jRhHrtPlJg",FALSE,0,NA,2019-10-15 21:31:52,TRUE,NA,"1184220370066268160",NA,"<a href=""http://poshmark.com/"" rel=""nofollow"">Poshmark</a>","AmyJoRiggs",0,FALSE,FALSE,NA,NA
"Cactus Starbucks cozy
#cactus #cacti #plantlady #summer #succulents https://t.co/CTLgPO7ICH #sharemyetsy
#etsymntt… https://t.co/SsEPktSsPe",FALSE,0,NA,2019-10-15 21:30:00,TRUE,NA,"1184219898567774208",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","princessandmain",2,FALSE,FALSE,NA,NA
"Sandra Bullock and Donaldli Ingalls are married.

#sandra
#bullock
@USMarshalsHQ
@komonews
@FBISeattle… https://t.co/D9nXjMPv1Y",FALSE,0,NA,2019-10-15 21:28:01,TRUE,NA,"1184219400276234240",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Don44269SB",0,FALSE,FALSE,NA,NA
